trade_id,window_id,asset,side,group_config,group_assets,entry_time,entry_price,group_prices_entry,exit_time,exit_price,exit_reason,pnl_pct,pnl_usd,stake_size,outcome
1,20251126_0330,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-26T03:40:00,0.0936,"{'BTC': 0.7573, 'ETH': 0.8738, 'SOL': 0.7672}",2025-11-26T03:45:00,0.1236,WINDOW_EXPIRY,0.03,0.03,1.0,WIN
2,20251126_0345,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-26T03:55:00,0.1742,"{'BTC': 0.8564, 'ETH': 0.8283, 'SOL': 0.7626}",2025-11-26T04:00:00,0.1768,WINDOW_EXPIRY,0.002600000000000019,0.002600000000000019,1.0,WIN
3,20251126_0430,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-26T04:40:00,0.1451,"{'BTC': 0.8082, 'ETH': 0.9073, 'SOL': 0.9384}",2025-11-26T04:45:00,0.1538,WINDOW_EXPIRY,0.008699999999999986,0.008699999999999986,1.0,WIN
4,20251126_0500,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-26T05:10:00,0.1143,"{'BTC': 0.8873, 'ETH': 0.9013, 'SOL': 0.9714}",2025-11-26T05:15:00,0.0967,WINDOW_EXPIRY,-0.017600000000000005,-0.017600000000000005,1.0,LOSS
5,20251126_0515,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-26T05:25:00,0.086,"{'BTC': 0.8941, 'ETH': 0.8218, 'SOL': 0.9673}",2025-11-26T05:30:00,0.161,WINDOW_EXPIRY,0.07500000000000001,0.07500000000000001,1.0,WIN
6,20251126_1000,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T10:10:00,0.9668,"{'BTC': 0.18, 'ETH': 0.104, 'XRP': 0.1824}",2025-11-26T10:15:00,0.9794,WINDOW_EXPIRY,-0.012600000000000056,-0.012600000000000056,1.0,LOSS
7,20251126_1015,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T10:27:00,0.9844,"{'BTC': 0.2315, 'ETH': 0.147, 'XRP': 0.1107}",2025-11-26T10:30:00,0.9451,WINDOW_EXPIRY,0.0393,0.0393,1.0,WIN
8,20251126_1230,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T12:40:00,0.8158,"{'BTC': 0.0903, 'ETH': 0.2322, 'XRP': 0.1236}",2025-11-26T12:45:00,0.8217,WINDOW_EXPIRY,-0.005900000000000016,-0.005900000000000016,1.0,LOSS
9,20251126_1245,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T12:55:00,0.8826,"{'BTC': 0.077, 'ETH': 0.1601, 'XRP': 0.147}",2025-11-26T13:00:00,0.728,WINDOW_EXPIRY,0.15460000000000007,0.15460000000000007,1.0,WIN
10,20251126_1300,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T13:10:00,0.657,"{'BTC': 0.1181, 'ETH': 0.1891, 'XRP': 0.2095}",2025-11-26T13:15:00,0.6566,WINDOW_EXPIRY,0.00040000000000006697,0.00040000000000006697,1.0,WIN
11,20251126_1315,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T13:25:00,0.6547,"{'BTC': 0.054, 'ETH': 0.1929, 'XRP': 0.2131}",2025-11-26T13:30:00,0.5909,WINDOW_EXPIRY,0.06379999999999997,0.06379999999999997,1.0,WIN
12,20251126_1330,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T13:41:00,0.5016,"{'BTC': 0.029, 'ETH': 0.2323, 'XRP': 0.2164}",2025-11-26T13:45:00,0.532,WINDOW_EXPIRY,-0.030399999999999983,-0.030399999999999983,1.0,LOSS
13,20251126_1800,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T18:10:00,0.6063,"{'BTC': 0.0524, 'ETH': 0.1701, 'XRP': 0.2152}",2025-11-26T18:15:00,0.5844,WINDOW_EXPIRY,0.02189999999999992,0.02189999999999992,1.0,WIN
14,20251126_1815,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T18:25:00,0.5609,"{'BTC': 0.0423, 'ETH': 0.1082, 'XRP': 0.1429}",2025-11-26T18:30:00,0.5249,WINDOW_EXPIRY,0.03599999999999992,0.03599999999999992,1.0,WIN
15,20251126_1900,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T19:10:00,0.7522,"{'BTC': 0.0361, 'ETH': 0.0448, 'XRP': 0.0883}",2025-11-26T19:15:00,0.7672,WINDOW_EXPIRY,-0.015000000000000013,-0.015000000000000013,1.0,LOSS
16,20251126_1915,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T19:25:00,0.7823,"{'BTC': 0.01, 'ETH': 0.0239, 'XRP': 0.1186}",2025-11-26T19:30:00,0.7794,WINDOW_EXPIRY,0.0029000000000000137,0.0029000000000000137,1.0,WIN
17,20251126_1930,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T19:40:00,0.77,"{'BTC': 0.0281, 'ETH': 0.095, 'XRP': 0.1118}",2025-11-26T19:45:00,0.7898,WINDOW_EXPIRY,-0.01979999999999993,-0.01979999999999993,1.0,LOSS
18,20251126_1945,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T19:55:00,0.7935,"{'BTC': 0.0158, 'ETH': 0.0715, 'XRP': 0.01}",2025-11-26T20:00:00,0.8136,WINDOW_EXPIRY,-0.020100000000000007,-0.020100000000000007,1.0,LOSS
19,20251126_2130,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T21:40:00,0.5044,"{'BTC': 0.1514, 'ETH': 0.0298, 'XRP': 0.1243}",2025-11-26T21:45:00,0.4989,WINDOW_EXPIRY,0.005499999999999949,0.005499999999999949,1.0,WIN
20,20251126_2145,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-26T21:55:00,0.5147,"{'BTC': 0.1579, 'ETH': 0.114, 'XRP': 0.0536}",2025-11-26T22:00:00,0.8561,WINDOW_EXPIRY,-0.3413999999999999,-0.3413999999999999,1.0,LOSS
21,20251127_0030,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-27T00:40:00,0.9096,"{'BTC': 0.1349, 'ETH': 0.1807, 'XRP': 0.121}",2025-11-27T00:45:00,0.916,WINDOW_EXPIRY,-0.006400000000000072,-0.006400000000000072,1.0,LOSS
22,20251127_0045,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-27T00:55:00,0.9878,"{'BTC': 0.0681, 'ETH': 0.1304, 'XRP': 0.0974}",2025-11-27T01:00:00,0.8208,WINDOW_EXPIRY,0.16700000000000004,0.16700000000000004,1.0,WIN
