trade_id,window_id,asset,side,group_config,group_assets,entry_time,entry_price,group_prices_entry,exit_time,exit_price,exit_reason,pnl_pct,pnl_usd,stake_size,outcome
1,20251001_0000,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-10-01T00:10:00,0.3207,"{'BTC': 0.8193, 'ETH': 0.907, 'SOL': 0.7689}",2025-10-01T00:15:00,0.3336,WINDOW_EXPIRY,0.012900000000000023,0.012900000000000023,1.0,WIN
2,20251001_0030,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-10-01T00:40:00,0.2241,"{'BTC': 0.8274, 'ETH': 0.8274, 'SOL': 0.9075}",2025-10-01T00:45:00,0.2743,WINDOW_EXPIRY,0.050199999999999995,0.050199999999999995,1.0,WIN
3,20251001_0045,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-10-01T00:55:00,0.3457,"{'BTC': 0.8703, 'ETH': 0.8482, 'SOL': 0.9779}",2025-10-01T01:00:00,0.3086,WINDOW_EXPIRY,-0.03710000000000002,-0.03710000000000002,1.0,LOSS
4,20251001_0100,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-10-01T01:10:00,0.2711,"{'BTC': 0.7795, 'ETH': 0.8089, 'SOL': 0.9507}",2025-10-01T01:15:00,0.3383,WINDOW_EXPIRY,0.06719999999999998,0.06719999999999998,1.0,WIN
5,20251001_0115,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-10-01T01:25:00,0.3389,"{'BTC': 0.7971, 'ETH': 0.7819, 'SOL': 0.8617}",2025-10-01T01:30:00,0.2924,WINDOW_EXPIRY,-0.046499999999999986,-0.046499999999999986,1.0,LOSS
6,20251001_0930,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-10-01T09:40:00,0.9385,"{'BTC': 0.0671, 'ETH': 0.1867, 'XRP': 0.1063}",2025-10-01T09:45:00,0.8454,WINDOW_EXPIRY,0.09309999999999996,0.09309999999999996,1.0,WIN
7,20251001_0945,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-10-01T09:55:00,0.7988,"{'BTC': 0.0859, 'ETH': 0.1529, 'XRP': 0.1871}",2025-10-01T10:00:00,0.6198,WINDOW_EXPIRY,0.17899999999999994,0.17899999999999994,1.0,WIN
8,20251001_1000,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-10-01T10:10:00,0.653,"{'BTC': 0.0939, 'ETH': 0.0941, 'XRP': 0.2414}",2025-10-01T10:15:00,0.6792,WINDOW_EXPIRY,-0.0262,-0.0262,1.0,LOSS
9,20251001_1500,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-10-01T15:10:00,0.1448,"{'BTC': 0.8394, 'ETH': 0.8676, 'SOL': 0.9089}",2025-10-01T15:15:00,0.1851,WINDOW_EXPIRY,0.040299999999999975,0.040299999999999975,1.0,WIN
10,20251001_1515,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-10-01T15:25:00,0.1409,"{'BTC': 0.856, 'ETH': 0.8393, 'SOL': 0.9028}",2025-10-01T15:30:00,0.1551,WINDOW_EXPIRY,0.01419999999999999,0.01419999999999999,1.0,WIN
