trade_id,window_id,asset,side,group_config,group_assets,entry_time,entry_price,group_prices_entry,exit_time,exit_price,exit_reason,pnl_pct,pnl_usd,stake_size,outcome
1,20251101_0615,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-01T06:25:00,0.0452,"{'BTC': 0.773, 'ETH': 0.9345, 'SOL': 0.8411}",2025-11-01T06:30:00,0.0761,WINDOW_EXPIRY,0.030900000000000004,0.030900000000000004,1.0,WIN
2,20251101_1245,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-01T12:57:00,0.7143,"{'BTC': 0.2005, 'ETH': 0.2272, 'XRP': 0.2412}",2025-11-01T13:00:00,0.7332,WINDOW_EXPIRY,-0.018899999999999917,-0.018899999999999917,1.0,LOSS
3,20251101_1800,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-01T18:10:00,0.5135,"{'BTC': 0.2067, 'ETH': 0.1899, 'XRP': 0.2144}",2025-11-01T18:15:00,0.5067,WINDOW_EXPIRY,0.006799999999999917,0.006799999999999917,1.0,WIN
4,20251102_0230,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T02:40:00,0.7189,"{'BTC': 0.1676, 'ETH': 0.089, 'XRP': 0.1746}",2025-11-02T02:45:00,0.701,WINDOW_EXPIRY,0.017900000000000027,0.017900000000000027,1.0,WIN
5,20251102_0245,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T02:55:00,0.8181,"{'BTC': 0.2457, 'ETH': 0.1533, 'XRP': 0.1733}",2025-11-02T03:00:00,0.7548,WINDOW_EXPIRY,0.06330000000000002,0.06330000000000002,1.0,WIN
6,20251102_0300,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T03:10:00,0.7162,"{'BTC': 0.2151, 'ETH': 0.1161, 'XRP': 0.1272}",2025-11-02T03:15:00,0.7366,WINDOW_EXPIRY,-0.020400000000000085,-0.020400000000000085,1.0,LOSS
7,20251102_0315,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T03:27:00,0.7193,"{'BTC': 0.2379, 'ETH': 0.1645, 'XRP': 0.0443}",2025-11-02T03:30:00,0.7382,WINDOW_EXPIRY,-0.018899999999999917,-0.018899999999999917,1.0,LOSS
8,20251102_1000,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T10:10:00,0.6933,"{'BTC': 0.0102, 'ETH': 0.0299, 'XRP': 0.1494}",2025-11-02T10:15:00,0.6958,WINDOW_EXPIRY,-0.0024999999999999467,-0.0024999999999999467,1.0,LOSS
9,20251102_1015,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T10:25:00,0.7293,"{'BTC': 0.0703, 'ETH': 0.1108, 'XRP': 0.0977}",2025-11-02T10:30:00,0.7616,WINDOW_EXPIRY,-0.032300000000000106,-0.032300000000000106,1.0,LOSS
10,20251102_1030,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T10:40:00,0.6845,"{'BTC': 0.01, 'ETH': 0.0821, 'XRP': 0.134}",2025-11-02T10:45:00,0.6977,WINDOW_EXPIRY,-0.01319999999999999,-0.01319999999999999,1.0,LOSS
11,20251102_1045,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T10:55:00,0.704,"{'BTC': 0.039, 'ETH': 0.0499, 'XRP': 0.0439}",2025-11-02T11:00:00,0.6359,WINDOW_EXPIRY,0.06809999999999994,0.06809999999999994,1.0,WIN
12,20251102_1100,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T11:10:00,0.7819,"{'BTC': 0.0117, 'ETH': 0.1094, 'XRP': 0.01}",2025-11-02T11:15:00,0.7558,WINDOW_EXPIRY,0.026100000000000012,0.026100000000000012,1.0,WIN
13,20251102_1115,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T11:25:00,0.7482,"{'BTC': 0.0226, 'ETH': 0.0966, 'XRP': 0.1036}",2025-11-02T11:30:00,0.7454,WINDOW_EXPIRY,0.0028000000000000247,0.0028000000000000247,1.0,WIN
14,20251102_1130,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T11:40:00,0.7691,"{'BTC': 0.1809, 'ETH': 0.1205, 'XRP': 0.1446}",2025-11-02T11:45:00,0.8244,WINDOW_EXPIRY,-0.055300000000000016,-0.055300000000000016,1.0,LOSS
15,20251102_1145,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T11:55:00,0.7866,"{'BTC': 0.099, 'ETH': 0.0827, 'XRP': 0.1679}",2025-11-02T12:00:00,0.7835,WINDOW_EXPIRY,0.0030999999999999917,0.0030999999999999917,1.0,WIN
16,20251102_1200,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-02T12:10:00,0.7896,"{'BTC': 0.108, 'ETH': 0.1328, 'XRP': 0.2436}",2025-11-02T12:15:00,0.7563,WINDOW_EXPIRY,0.033299999999999996,0.033299999999999996,1.0,WIN
17,20251102_2230,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-02T22:40:00,0.3314,"{'BTC': 0.8354, 'ETH': 0.8944, 'SOL': 0.9398}",2025-11-02T22:45:00,0.3582,WINDOW_EXPIRY,0.026800000000000046,0.026800000000000046,1.0,WIN
18,20251102_2245,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-02T22:55:00,0.3613,"{'BTC': 0.8302, 'ETH': 0.8407, 'SOL': 0.9828}",2025-11-02T23:00:00,0.1142,WINDOW_EXPIRY,-0.24710000000000001,-0.24710000000000001,1.0,LOSS
19,20251102_2300,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-02T23:10:00,0.1133,"{'BTC': 0.848, 'ETH': 0.8616, 'SOL': 0.9229}",2025-11-02T23:15:00,0.0652,WINDOW_EXPIRY,-0.048100000000000004,-0.048100000000000004,1.0,LOSS
20,20251102_2315,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-02T23:25:00,0.0242,"{'BTC': 0.8361, 'ETH': 0.8834, 'SOL': 0.9355}",2025-11-02T23:30:00,0.4202,WINDOW_EXPIRY,0.396,0.396,1.0,WIN
21,20251103_0000,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-03T00:10:00,0.2623,"{'BTC': 0.8179, 'ETH': 0.9491, 'SOL': 0.9499}",2025-11-03T00:15:00,0.2967,WINDOW_EXPIRY,0.03440000000000004,0.03440000000000004,1.0,WIN
22,20251103_0015,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-03T00:28:00,0.3061,"{'BTC': 0.767, 'ETH': 0.9609, 'SOL': 0.9672}",2025-11-03T00:30:00,0.1738,WINDOW_EXPIRY,-0.13229999999999997,-0.13229999999999997,1.0,LOSS
23,20251103_0315,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-03T03:26:00,0.792,"{'BTC': 0.1761, 'ETH': 0.2365, 'XRP': 0.2208}",2025-11-03T03:30:00,0.7622,WINDOW_EXPIRY,0.02980000000000005,0.02980000000000005,1.0,WIN
24,20251104_0145,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-04T01:58:00,0.0838,"{'BTC': 0.8215, 'ETH': 0.9703, 'SOL': 0.7759}",2025-11-04T02:00:00,0.2529,WINDOW_EXPIRY,0.16910000000000003,0.16910000000000003,1.0,WIN
25,20251104_0200,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-04T02:10:00,0.2934,"{'BTC': 0.8214, 'ETH': 0.9792, 'SOL': 0.8221}",2025-11-04T02:15:00,0.2873,WINDOW_EXPIRY,-0.006099999999999994,-0.006099999999999994,1.0,LOSS
26,20251104_0215,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-04T02:25:00,0.2557,"{'BTC': 0.8662, 'ETH': 0.9209, 'SOL': 0.8045}",2025-11-04T02:30:00,0.3266,WINDOW_EXPIRY,0.07090000000000002,0.07090000000000002,1.0,WIN
27,20251104_0245,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-04T02:57:00,0.3418,"{'BTC': 0.7607, 'ETH': 0.8957, 'SOL': 0.7539}",2025-11-04T03:00:00,0.0635,WINDOW_EXPIRY,-0.2783,-0.2783,1.0,LOSS
28,20251104_0300,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-04T03:10:00,0.0542,"{'BTC': 0.7716, 'ETH': 0.8796, 'SOL': 0.8644}",2025-11-04T03:15:00,0.098,WINDOW_EXPIRY,0.043800000000000006,0.043800000000000006,1.0,WIN
29,20251104_0315,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-04T03:25:00,0.0892,"{'BTC': 0.7962, 'ETH': 0.935, 'SOL': 0.8389}",2025-11-04T03:30:00,0.093,WINDOW_EXPIRY,0.003799999999999998,0.003799999999999998,1.0,WIN
30,20251104_0330,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-04T03:40:00,0.1049,"{'BTC': 0.7638, 'ETH': 0.9831, 'SOL': 0.8063}",2025-11-04T03:45:00,0.1264,WINDOW_EXPIRY,0.02150000000000002,0.02150000000000002,1.0,WIN
31,20251104_0345,XRP,UP,G1,"['BTC', 'ETH', 'SOL']",2025-11-04T03:56:00,0.1105,"{'BTC': 0.7601, 'ETH': 0.9828, 'SOL': 0.752}",2025-11-04T04:00:00,0.3643,WINDOW_EXPIRY,0.2538,0.2538,1.0,WIN
32,20251104_1030,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T10:40:00,0.8614,"{'BTC': 0.0206, 'ETH': 0.1755, 'XRP': 0.2057}",2025-11-04T10:45:00,0.8864,WINDOW_EXPIRY,-0.02499999999999991,-0.02499999999999991,1.0,LOSS
33,20251104_1045,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T10:55:00,0.813,"{'BTC': 0.0888, 'ETH': 0.2049, 'XRP': 0.1323}",2025-11-04T11:00:00,0.9477,WINDOW_EXPIRY,-0.13470000000000004,-0.13470000000000004,1.0,LOSS
34,20251104_1100,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T11:10:00,0.9002,"{'BTC': 0.1153, 'ETH': 0.1367, 'XRP': 0.1145}",2025-11-04T11:15:00,0.9327,WINDOW_EXPIRY,-0.03249999999999997,-0.03249999999999997,1.0,LOSS
35,20251104_1115,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T11:25:00,0.9361,"{'BTC': 0.181, 'ETH': 0.0444, 'XRP': 0.1694}",2025-11-04T11:30:00,0.9302,WINDOW_EXPIRY,0.005900000000000016,0.005900000000000016,1.0,WIN
36,20251104_1130,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T11:40:00,0.8193,"{'BTC': 0.1515, 'ETH': 0.0309, 'XRP': 0.1128}",2025-11-04T11:45:00,0.8308,WINDOW_EXPIRY,-0.011499999999999955,-0.011499999999999955,1.0,LOSS
37,20251104_1145,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T11:55:00,0.8318,"{'BTC': 0.0902, 'ETH': 0.0573, 'XRP': 0.0523}",2025-11-04T12:00:00,0.8252,WINDOW_EXPIRY,0.006599999999999939,0.006599999999999939,1.0,WIN
38,20251104_1200,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T12:10:00,0.8127,"{'BTC': 0.0366, 'ETH': 0.2028, 'XRP': 0.1032}",2025-11-04T12:15:00,0.7767,WINDOW_EXPIRY,0.03600000000000003,0.03600000000000003,1.0,WIN
39,20251104_1215,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T12:25:00,0.7851,"{'BTC': 0.1299, 'ETH': 0.2319, 'XRP': 0.1357}",2025-11-04T12:30:00,0.9424,WINDOW_EXPIRY,-0.1573,-0.1573,1.0,LOSS
40,20251104_1600,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T16:10:00,0.9608,"{'BTC': 0.0136, 'ETH': 0.1234, 'XRP': 0.1007}",2025-11-04T16:15:00,0.9472,WINDOW_EXPIRY,0.013599999999999945,0.013599999999999945,1.0,WIN
41,20251104_1615,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T16:25:00,0.9071,"{'BTC': 0.0123, 'ETH': 0.177, 'XRP': 0.1529}",2025-11-04T16:30:00,0.9212,WINDOW_EXPIRY,-0.014100000000000001,-0.014100000000000001,1.0,LOSS
42,20251104_1630,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T16:40:00,0.9011,"{'BTC': 0.0439, 'ETH': 0.1411, 'XRP': 0.0134}",2025-11-04T16:45:00,0.8965,WINDOW_EXPIRY,0.0046000000000000485,0.0046000000000000485,1.0,WIN
43,20251104_1645,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T16:55:00,0.8618,"{'BTC': 0.0276, 'ETH': 0.1926, 'XRP': 0.0318}",2025-11-04T17:00:00,0.8475,WINDOW_EXPIRY,0.01429999999999998,0.01429999999999998,1.0,WIN
44,20251104_1700,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T17:10:00,0.8506,"{'BTC': 0.0543, 'ETH': 0.1892, 'XRP': 0.01}",2025-11-04T17:15:00,0.8063,WINDOW_EXPIRY,0.044300000000000006,0.044300000000000006,1.0,WIN
45,20251104_1715,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T17:25:00,0.7275,"{'BTC': 0.0226, 'ETH': 0.2021, 'XRP': 0.0403}",2025-11-04T17:30:00,0.7059,WINDOW_EXPIRY,0.021600000000000064,0.021600000000000064,1.0,WIN
46,20251104_1800,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T18:10:00,0.5861,"{'BTC': 0.2146, 'ETH': 0.1022, 'XRP': 0.1445}",2025-11-04T18:15:00,0.588,WINDOW_EXPIRY,-0.0019000000000000128,-0.0019000000000000128,1.0,LOSS
47,20251104_2100,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T21:10:00,0.9162,"{'BTC': 0.1896, 'ETH': 0.0804, 'XRP': 0.1657}",2025-11-04T21:15:00,0.8368,WINDOW_EXPIRY,0.07940000000000003,0.07940000000000003,1.0,WIN
48,20251104_2115,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T21:25:00,0.83,"{'BTC': 0.1823, 'ETH': 0.0751, 'XRP': 0.1366}",2025-11-04T21:30:00,0.8831,WINDOW_EXPIRY,-0.053100000000000036,-0.053100000000000036,1.0,LOSS
49,20251104_2130,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T21:40:00,0.9487,"{'BTC': 0.1464, 'ETH': 0.0482, 'XRP': 0.1153}",2025-11-04T21:45:00,0.8898,WINDOW_EXPIRY,0.05889999999999995,0.05889999999999995,1.0,WIN
50,20251104_2145,SOL,DOWN,G2,"['BTC', 'ETH', 'XRP']",2025-11-04T21:55:00,0.8425,"{'BTC': 0.1526, 'ETH': 0.0152, 'XRP': 0.0945}",2025-11-04T22:00:00,0.8911,WINDOW_EXPIRY,-0.04859999999999998,-0.04859999999999998,1.0,LOSS
